# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,ell
1.7943e-19,7.7100e+02
1.7815e-19,7.7200e+02
1.7688e-19,7.7300e+02
1.7562e-19,7.7400e+02
1.7436e-19,7.7500e+02
1.7312e-19,7.7600e+02
1.7189e-19,7.7700e+02
1.7067e-19,7.7800e+02
1.6946e-19,7.7900e+02
1.6826e-19,7.8000e+02
1.6707e-19,7.8100e+02
1.6589e-19,7.8200e+02
1.6472e-19,7.8300e+02
1.6356e-19,7.8400e+02
1.6241e-19,7.8500e+02
1.6127e-19,7.8600e+02
1.6014e-19,7.8700e+02
1.5901e-19,7.8800e+02
1.5790e-19,7.8900e+02
1.5680e-19,7.9000e+02
1.5570e-19,7.9100e+02
1.5462e-19,7.9200e+02
1.5354e-19,7.9300e+02
1.5247e-19,7.9400e+02
1.5141e-19,7.9500e+02
1.5036e-19,7.9600e+02
1.4931e-19,7.9700e+02
1.4828e-19,7.9800e+02
1.4725e-19,7.9900e+02
1.4624e-19,8.0000e+02
1.4523e-19,8.0100e+02
1.4423e-19,8.0200e+02
1.4323e-19,8.0300e+02
1.4225e-19,8.0400e+02
1.4127e-19,8.0500e+02
1.4030e-19,8.0600e+02
1.3934e-19,8.0700e+02
1.3839e-19,8.0800e+02
1.3744e-19,8.0900e+02
1.3650e-19,8.1000e+02
1.3557e-19,8.1100e+02
1.3464e-19,8.1200e+02
1.3373e-19,8.1300e+02
1.3282e-19,8.1400e+02
1.3192e-19,8.1500e+02
1.3102e-19,8.1600e+02
1.3014e-19,8.1700e+02
1.2925e-19,8.1800e+02
1.2838e-19,8.1900e+02
1.2751e-19,8.2000e+02
1.2665e-19,8.2100e+02
1.2580e-19,8.2200e+02
1.2495e-19,8.2300e+02
1.2411e-19,8.2400e+02
1.2328e-19,8.2500e+02
1.2245e-19,8.2600e+02
1.2163e-19,8.2700e+02
1.2082e-19,8.2800e+02
1.2001e-19,8.2900e+02
1.1921e-19,8.3000e+02
1.1842e-19,8.3100e+02
1.1763e-19,8.3200e+02
1.1685e-19,8.3300e+02
1.1607e-19,8.3400e+02
1.1530e-19,8.3500e+02
1.1453e-19,8.3600e+02
1.1377e-19,8.3700e+02
1.1302e-19,8.3800e+02
1.1228e-19,8.3900e+02
1.1153e-19,8.4000e+02
1.1080e-19,8.4100e+02
1.1007e-19,8.4200e+02
1.0934e-19,8.4300e+02
1.0863e-19,8.4400e+02
1.0791e-19,8.4500e+02
1.0721e-19,8.4600e+02
1.0650e-19,8.4700e+02
