# Lensing power spectrum, taken from the Planck PR2
# We extrapolated the multipoles 0-7 because they are set to zero
# in the original release
Cl,Nl,ell
3.4823e-08,7.0837e-07,4.5400e+02
3.4718e-08,7.0876e-07,4.5500e+02
3.4612e-08,7.0917e-07,4.5600e+02
3.4509e-08,7.0959e-07,4.5700e+02
3.4404e-08,7.1002e-07,4.5800e+02
3.4300e-08,7.1047e-07,4.5900e+02
3.4196e-08,7.1093e-07,4.6000e+02
3.4094e-08,7.1140e-07,4.6100e+02
3.3992e-08,7.1190e-07,4.6200e+02
3.3890e-08,7.1241e-07,4.6300e+02
3.3788e-08,7.1293e-07,4.6400e+02
3.3687e-08,7.1347e-07,4.6500e+02
3.3587e-08,7.1403e-07,4.6600e+02
3.3486e-08,7.1460e-07,4.6700e+02
3.3386e-08,7.1518e-07,4.6800e+02
3.3287e-08,7.1578e-07,4.6900e+02
3.3188e-08,7.1638e-07,4.7000e+02
3.3089e-08,7.1700e-07,4.7100e+02
3.2991e-08,7.1762e-07,4.7200e+02
3.2894e-08,7.1825e-07,4.7300e+02
3.2797e-08,7.1889e-07,4.7400e+02
3.2699e-08,7.1953e-07,4.7500e+02
3.2603e-08,7.2017e-07,4.7600e+02
3.2506e-08,7.2081e-07,4.7700e+02
3.2412e-08,7.2146e-07,4.7800e+02
3.2316e-08,7.2210e-07,4.7900e+02
3.2222e-08,7.2275e-07,4.8000e+02
3.2126e-08,7.2340e-07,4.8100e+02
3.2033e-08,7.2405e-07,4.8200e+02
3.1939e-08,7.2470e-07,4.8300e+02
3.1846e-08,7.2536e-07,4.8400e+02
3.1754e-08,7.2602e-07,4.8500e+02
3.1661e-08,7.2668e-07,4.8600e+02
3.1568e-08,7.2736e-07,4.8700e+02
3.1477e-08,7.2804e-07,4.8800e+02
3.1386e-08,7.2873e-07,4.8900e+02
3.1295e-08,7.2944e-07,4.9000e+02
3.1204e-08,7.3016e-07,4.9100e+02
3.1114e-08,7.3089e-07,4.9200e+02
3.1025e-08,7.3163e-07,4.9300e+02
3.0935e-08,7.3239e-07,4.9400e+02
3.0846e-08,7.3317e-07,4.9500e+02
3.0758e-08,7.3397e-07,4.9600e+02
3.0668e-08,7.3478e-07,4.9700e+02
3.0580e-08,7.3562e-07,4.9800e+02
3.0494e-08,7.3647e-07,4.9900e+02
3.0406e-08,7.3734e-07,5.0000e+02
3.0320e-08,7.3824e-07,5.0100e+02
3.0233e-08,7.3915e-07,5.0200e+02
3.0147e-08,7.4008e-07,5.0300e+02
3.0060e-08,7.4103e-07,5.0400e+02
2.9976e-08,7.4199e-07,5.0500e+02
2.9891e-08,7.4297e-07,5.0600e+02
2.9806e-08,7.4397e-07,5.0700e+02
2.9721e-08,7.4498e-07,5.0800e+02
2.9636e-08,7.4600e-07,5.0900e+02
2.9553e-08,7.4704e-07,5.1000e+02
2.9470e-08,7.4808e-07,5.1100e+02
2.9386e-08,7.4913e-07,5.1200e+02
2.9305e-08,7.5019e-07,5.1300e+02
2.9222e-08,7.5125e-07,5.1400e+02
2.9140e-08,7.5232e-07,5.1500e+02
2.9058e-08,7.5340e-07,5.1600e+02
2.8976e-08,7.5447e-07,5.1700e+02
2.8896e-08,7.5555e-07,5.1800e+02
2.8815e-08,7.5664e-07,5.1900e+02
2.8735e-08,7.5773e-07,5.2000e+02
2.8654e-08,7.5882e-07,5.2100e+02
2.8576e-08,7.5992e-07,5.2200e+02
2.8496e-08,7.6103e-07,5.2300e+02
2.8417e-08,7.6214e-07,5.2400e+02
2.8339e-08,7.6326e-07,5.2500e+02
2.8260e-08,7.6440e-07,5.2600e+02
2.8182e-08,7.6554e-07,5.2700e+02
2.8105e-08,7.6669e-07,5.2800e+02
2.8026e-08,7.6786e-07,5.2900e+02
2.7949e-08,7.6904e-07,5.3000e+02
2.7872e-08,7.7023e-07,5.3100e+02
2.7797e-08,7.7144e-07,5.3200e+02
2.7720e-08,7.7267e-07,5.3300e+02
